Accuracy for class cherry is: 55.2 %
Accuracy for class strawberry is: 35.3 %
Accuracy for class tomato is: 62.0 %

Accuracy of the network on the 10000 test images: 48 %

Epoch: 1 	Training Loss: 1.656698 	Validation Loss: 1.117546
Epoch: 2 	Training Loss: 1.128237 	Validation Loss: 1.097039
Epoch: 3 	Training Loss: 1.107396 	Validation Loss: 1.089889
Epoch: 4 	Training Loss: 1.098550 	Validation Loss: 1.077993
Epoch: 5 	Training Loss: 1.098291 	Validation Loss: 1.107705
Epoch: 6 	Training Loss: 1.052164 	Validation Loss: 1.022099
Epoch: 7 	Training Loss: 1.042101 	Validation Loss: 1.023120
Epoch: 8 	Training Loss: 1.018603 	Validation Loss: 1.012787
Epoch: 9 	Training Loss: 1.006025 	Validation Loss: 1.016604
Epoch: 10 	Training Loss: 0.999087 	Validation Loss: 0.998092
Epoch: 11 	Training Loss: 0.992384 	Validation Loss: 1.007662
Epoch: 12 	Training Loss: 0.986224 	Validation Loss: 1.013171
Epoch: 13 	Training Loss: 0.988463 	Validation Loss: 0.996990
Epoch: 14 	Training Loss: 0.987502 	Validation Loss: 0.994921
Epoch: 15 	Training Loss: 0.979818 	Validation Loss: 0.986329
Epoch: 16 	Training Loss: 0.967639 	Validation Loss: 1.001978
Epoch: 17 	Training Loss: 0.968226 	Validation Loss: 0.971604
Epoch: 18 	Training Loss: 0.964891 	Validation Loss: 1.015319
Epoch: 19 	Training Loss: 0.965722 	Validation Loss: 0.996902
Epoch: 20 	Training Loss: 0.962627 	Validation Loss: 0.979528
Epoch: 21 	Training Loss: 0.953510 	Validation Loss: 0.988786
Epoch: 22 	Training Loss: 0.956541 	Validation Loss: 0.971656
Epoch: 23 	Training Loss: 0.949061 	Validation Loss: 0.972812
Epoch: 24 	Training Loss: 0.951509 	Validation Loss: 0.963529
Epoch: 25 	Training Loss: 0.948542 	Validation Loss: 0.991584
Epoch: 26 	Training Loss: 0.942443 	Validation Loss: 0.974271
Epoch: 27 	Training Loss: 0.933742 	Validation Loss: 0.969137
Epoch: 28 	Training Loss: 0.919390 	Validation Loss: 0.967207
Epoch: 29 	Training Loss: 0.933596 	Validation Loss: 0.996522
Epoch: 30 	Training Loss: 0.928989 	Validation Loss: 0.992720
Epoch: 31 	Training Loss: 0.920942 	Validation Loss: 0.952353
Epoch: 32 	Training Loss: 0.924697 	Validation Loss: 0.986154
Epoch: 33 	Training Loss: 0.916430 	Validation Loss: 0.963720
Epoch: 34 	Training Loss: 0.922507 	Validation Loss: 0.948893
Epoch: 35 	Training Loss: 0.926099 	Validation Loss: 0.956787
Epoch: 36 	Training Loss: 0.918990 	Validation Loss: 0.966840
Epoch: 37 	Training Loss: 0.918190 	Validation Loss: 0.945833
Epoch: 38 	Training Loss: 0.904909 	Validation Loss: 0.956244
Epoch: 39 	Training Loss: 0.918682 	Validation Loss: 0.966525
Epoch: 40 	Training Loss: 0.910485 	Validation Loss: 0.996377
Epoch: 41 	Training Loss: 0.910711 	Validation Loss: 0.962829
Epoch: 42 	Training Loss: 0.904379 	Validation Loss: 0.960029
Epoch: 43 	Training Loss: 0.904172 	Validation Loss: 0.951075
Epoch: 44 	Training Loss: 0.897792 	Validation Loss: 0.949503
Epoch: 45 	Training Loss: 0.902050 	Validation Loss: 0.959853
Epoch: 46 	Training Loss: 0.915147 	Validation Loss: 0.959195
Epoch: 47 	Training Loss: 0.900621 	Validation Loss: 0.923371
Epoch: 48 	Training Loss: 0.902755 	Validation Loss: 0.937485
Epoch: 49 	Training Loss: 0.900646 	Validation Loss: 0.898721
Epoch: 50 	Training Loss: 0.891518 	Validation Loss: 0.930420
Epoch: 51 	Training Loss: 0.893389 	Validation Loss: 0.951430
Epoch: 52 	Training Loss: 0.898068 	Validation Loss: 0.934002
Epoch: 53 	Training Loss: 0.890761 	Validation Loss: 0.931144
Epoch: 54 	Training Loss: 0.881315 	Validation Loss: 0.941836
Epoch: 55 	Training Loss: 0.884551 	Validation Loss: 1.013635
Epoch: 56 	Training Loss: 0.892140 	Validation Loss: 0.961945
Epoch: 57 	Training Loss: 0.885615 	Validation Loss: 0.935774
Epoch: 58 	Training Loss: 0.887560 	Validation Loss: 0.956410
Epoch: 59 	Training Loss: 0.876672 	Validation Loss: 0.911967
Epoch: 60 	Training Loss: 0.877841 	Validation Loss: 0.920042
Epoch: 61 	Training Loss: 0.881121 	Validation Loss: 0.903510
Epoch: 62 	Training Loss: 0.879874 	Validation Loss: 0.945358
Epoch: 63 	Training Loss: 0.874744 	Validation Loss: 0.912269
Epoch: 64 	Training Loss: 0.876545 	Validation Loss: 0.912063
Epoch: 65 	Training Loss: 0.881262 	Validation Loss: 0.953897
Epoch: 66 	Training Loss: 0.870630 	Validation Loss: 0.925464
Epoch: 67 	Training Loss: 0.868171 	Validation Loss: 0.919454
Epoch: 68 	Training Loss: 0.884157 	Validation Loss: 0.903139
Epoch: 69 	Training Loss: 0.867972 	Validation Loss: 0.930777
Epoch: 70 	Training Loss: 0.872789 	Validation Loss: 0.924384
Epoch: 71 	Training Loss: 0.861024 	Validation Loss: 0.898663
Epoch: 72 	Training Loss: 0.869141 	Validation Loss: 0.909147
Epoch: 73 	Training Loss: 0.867314 	Validation Loss: 0.940609
Epoch: 74 	Training Loss: 0.862431 	Validation Loss: 0.927927
Epoch: 75 	Training Loss: 0.868468 	Validation Loss: 0.904837
Epoch: 76 	Training Loss: 0.861920 	Validation Loss: 0.915584
Epoch: 77 	Training Loss: 0.863826 	Validation Loss: 0.924336
Epoch: 78 	Training Loss: 0.857958 	Validation Loss: 0.905356
Epoch: 79 	Training Loss: 0.853836 	Validation Loss: 0.966196
Epoch: 80 	Training Loss: 0.851333 	Validation Loss: 0.914141
Epoch: 81 	Training Loss: 0.864558 	Validation Loss: 0.917993
Epoch: 82 	Training Loss: 0.859884 	Validation Loss: 0.880745
Epoch: 83 	Training Loss: 0.857631 	Validation Loss: 0.936356
Epoch: 84 	Training Loss: 0.857133 	Validation Loss: 0.919775
Epoch: 85 	Training Loss: 0.862652 	Validation Loss: 0.918152
Epoch: 86 	Training Loss: 0.862090 	Validation Loss: 0.964253
Epoch: 87 	Training Loss: 0.857741 	Validation Loss: 0.922979
Epoch: 88 	Training Loss: 0.860235 	Validation Loss: 0.952292
Epoch: 89 	Training Loss: 0.852237 	Validation Loss: 0.888248
Epoch: 90 	Training Loss: 0.838021 	Validation Loss: 0.890811
Epoch: 91 	Training Loss: 0.843756 	Validation Loss: 0.926458
Epoch: 92 	Training Loss: 0.854506 	Validation Loss: 0.928067
Epoch: 93 	Training Loss: 0.845902 	Validation Loss: 0.898907
Epoch: 94 	Training Loss: 0.854007 	Validation Loss: 0.877994
Epoch: 95 	Training Loss: 0.846641 	Validation Loss: 0.925793
Epoch: 96 	Training Loss: 0.838815 	Validation Loss: 0.869904
Epoch: 97 	Training Loss: 0.843992 	Validation Loss: 0.895853
Epoch: 98 	Training Loss: 0.843287 	Validation Loss: 0.907429
Epoch: 99 	Training Loss: 0.846357 	Validation Loss: 0.877583
Epoch: 100 	Training Loss: 0.839757 	Validation Loss: 0.906645


Epoch: 1 	Training Loss: 0.839174 	Validation Loss: 0.875792
Epoch: 2 	Training Loss: 0.838327 	Validation Loss: 0.920796
Epoch: 3 	Training Loss: 0.829063 	Validation Loss: 0.953689
Epoch: 4 	Training Loss: 0.842848 	Validation Loss: 0.936154
Epoch: 5 	Training Loss: 0.839358 	Validation Loss: 0.867706
Epoch: 6 	Training Loss: 0.840545 	Validation Loss: 0.881531
Epoch: 7 	Training Loss: 0.837628 	Validation Loss: 0.903609
Epoch: 8 	Training Loss: 0.836950 	Validation Loss: 0.908482
Epoch: 9 	Training Loss: 0.834229 	Validation Loss: 0.888449
Epoch: 10 	Training Loss: 0.840959 	Validation Loss: 0.930696
Epoch: 11 	Training Loss: 0.837203 	Validation Loss: 0.929227
Epoch: 12 	Training Loss: 0.841493 	Validation Loss: 0.902045
Epoch: 13 	Training Loss: 0.826759 	Validation Loss: 0.873969
Epoch: 14 	Training Loss: 0.835319 	Validation Loss: 0.901666
Epoch: 15 	Training Loss: 0.830943 	Validation Loss: 0.894361
Epoch: 16 	Training Loss: 0.832048 	Validation Loss: 0.888899
Epoch: 17 	Training Loss: 0.834822 	Validation Loss: 0.915460
Epoch: 18 	Training Loss: 0.838402 	Validation Loss: 0.894150
Process finished with exit code 0
